list,combination,drug,method
i_169,c_38,d_21,m_2
i_180,c_39,d_22,m_1
i_30,c_4,d_5,m_2
i_31,c_4,d_5,m_1
i_182,c_40,d_22,m_1
i_184,c_41,d_23,m_1
i_190,c_42,d_24,m_1
i_198,c_43,d_25,m_1
i_212,c_44,d_26,m_1
i_213,c_44,d_26,m_1
i_230,c_45,d_28,m_1
i_255,c_46,d_33,m_1
i_44,c_5,d_6,m_1
i_44,c_5,d_6,m_4
i_44,c_5,d_6,m_2
i_47,c_5,d_6,m_1
i_47,c_5,d_6,m_4
i_47,c_5,d_6,m_2
i_50,c_5,d_6,m_1
i_50,c_5,d_6,m_4
i_50,c_5,d_6,m_2
i_2,c_50,d_1,m_1
i_3,c_50,d_1,m_1
i_8,c_51,d_1,m_1
i_9,c_51,d_1,m_1
i_33,c_52,d_5,m_1
i_54,c_53,d_6,m_1
i_91,c_54,d_8,m_1
i_92,c_54,d_8,m_1
i_93,c_55,d_8,m_5
i_95,c_56,d_8,m_1
i_96,c_56,d_8,m_1
i_113,c_57,d_11,m_1
i_133,c_58,d_16,m_1
i_133,c_58,d_16,m_2
i_78,c_6,d_6,m_2
i_78,c_6,d_18,m_2
i_78,c_6,d_35,m_2
i_170,c_60,d_21,m_3
i_171,c_60,d_21,m_3
i_172,c_60,d_21,m_3
i_173,c_60,d_21,m_3
i_174,c_60,d_21,m_2
i_181,c_61,d_22,m_1
i_183,c_62,d_22,m_1
i_185,c_63,d_23,m_1
i_191,c_64,d_24,m_1
i_191,c_64,d_24,m_4
i_191,c_64,d_24,m_2
i_199,c_65,d_25,m_1
i_214,c_66,d_26,m_1
i_215,c_66,d_26,m_1
i_224,c_67,d_27,m_1
i_231,c_68,d_28,m_2
i_256,c_69,d_33,m_1
i_97,c_7,d_9,m_2
i_98,c_7,d_9,m_2
i_273,c_70,d_34,m_3
i_274,c_70,d_34,m_3
i_275,c_70,d_34,m_3
i_276,c_70,d_34,m_3
i_4,c_71,d_1,m_1
i_4,c_71,d_1,m_2
i_10,c_72,d_1,m_1
i_10,c_72,d_1,m_2
i_24,c_73,d_3,m_2
i_25,c_73,d_3,m_2
i_34,c_74,d_5,m_1
i_35,c_74,d_5,m_2
i_55,c_75,d_6,m_1
i_55,c_75,d_6,m_4
i_55,c_75,d_6,m_2
i_69,c_75,d_6,m_1
i_69,c_75,d_6,m_2
i_58,c_76,d_6,m_2
i_73,c_77,d_6,m_2
